sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus
"Flower Painting - Morning Glory",,admin,simple,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Style/Realistic,Default Category/Paintings,Default Category/Paintings/Landscape Paintings/Flower Paintings,Default Category/Paintings/Landscape Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Bed Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Paintings/Still Life Paintings",base,,,"<p>Decorate your space with Flower Painting that looks amazing on walls. </p>",1.0000,1,"Taxable Goods","Catalog, Search",,,10/5/20,10/31/20,flower-painting-morning-glory,,,,/i/m/img_6068b_5.jpg,"Flower Painting , Floral Painting , Floral art , Floral canvas painting,Enhance the beauty of Your Walls through Floral Paintings",/i/m/img_6068b_5.jpg,"Flower Painting , Floral Painting , Floral art , Floral canvas painting,Enhance the beauty of Your Walls through Floral Paintings",/i/m/img_6068b_5.jpg,"Flower Painting , Floral Painting , Floral art , Floral canvas painting,Enhance the beauty of Your Walls through Floral Paintings",/i/m/img_6068b_5.jpg,,"7/24/18, 2:31 AM","5/30/24, 8:32 PM",6/24/19,8/24/19,"Product Info Column",,,,Yes,,,,,,,"Use config",India,"room=""Living Room"",medium=""Acrylic"",most_purchased=""Yes"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""10000"",jd_trends_artist=""1"",prirority=""1""",1.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/i/m/img_6068b_5.jpg,"Flower Painting , Floral Painting , Floral art , Floral canvas painting,Enhance the beauty of Your Walls through Floral Paintings",,,,,,,,,,,
"Flower Painting - Morning Glory",en,admin,simple,,,,,,,,,,,,,,,,,,/i/m/img_6068b.jpg,,/i/m/img_6068b.jpg,,/i/m/img_6068b.jpg,,/i/m/img_6068b.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flower Painting - Morning Glory",ae,admin,simple,,,,,,,,,,,,,,,,,,/i/m/img_6068b.jpg,,/i/m/img_6068b.jpg,,/i/m/img_6068b.jpg,,/i/m/img_6068b.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flower Painting - Morning Glory",ca,admin,simple,,,,,,,,,,,,,,,,,,/i/m/img_6068b.jpg,,/i/m/img_6068b.jpg,,/i/m/img_6068b.jpg,,/i/m/img_6068b.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flower Painting - Morning Glory",us,admin,simple,,,,,,,,,,,,,,,,,,/i/m/img_6068b.jpg,,/i/m/img_6068b.jpg,,/i/m/img_6068b.jpg,,/i/m/img_6068b.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flower Painting - Morning Glory",au,admin,simple,,,,,,,,,,,,,,,,,,/i/m/img_6068b.jpg,,/i/m/img_6068b.jpg,,/i/m/img_6068b.jpg,,/i/m/img_6068b.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Force,,admin,simple,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings/Modern Art, Contemporary Art,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Paintings/Style/Contemporary",base,,,"<p>abstract canvas painting</p>",1.0000,1,"Taxable Goods","Catalog, Search",,,,,force,,,,/i/m/img_5900_1.jpg,"contemporary wall art , contemporary Art , contemporary Painting,An open-plan kitchen leaves plenty of room for artwork on the walls",/i/m/img_5900_1.jpg,"contemporary wall art , contemporary Art , contemporary Painting,An open-plan kitchen leaves plenty of room for artwork on the walls",/i/m/img_5900_1.jpg,"contemporary wall art , contemporary Art , contemporary Painting,An open-plan kitchen leaves plenty of room for artwork on the walls",/i/m/img_5900_1.jpg,,"7/24/18, 3:42 AM","3/8/24, 9:29 AM",,,"Product Info Column",,,,Yes,,,,,,,"Use config",India,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""12000"",jd_trends_artist=""1"",prirority=""1""",1.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/i/m/img_5900_1.jpg,"contemporary wall art , contemporary Art , contemporary Painting,An open-plan kitchen leaves plenty of room for artwork on the walls",,,,,,,,,,,
Force,en,admin,simple,,,,,,,,,,,,3/24/21,,,,,,/i/m/img_5900.jpg,,/i/m/img_5900.jpg,,/i/m/img_5900.jpg,,/i/m/img_5900.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Force,ae,admin,simple,,,,,,,,,,,,3/24/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Force,gb,admin,simple,,,,,,,,,,,,3/24/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Force,ca,admin,simple,,,,,,,,,,,,3/24/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Force,us,admin,simple,,,,,,,,,,,,3/24/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Force,sg,admin,simple,,,,,,,,,,,,3/24/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Force,my,admin,simple,,,,,,,,,,,,3/24/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Force,au,admin,simple,,,,,,,,,,,,3/24/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Force,eu,admin,simple,,,,,,,,,,,,3/24/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Two Fold",,admin,simple,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Animals, Birds Paintings,Default Category/Paintings/Style/Abstract,Default Category,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Animals, Birds Paintings/Birds Paintings,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",base,,,"<p><span data-sheets-value=""{""1"":2,""2"":""Classic abstract canvas painting  to redefine your Home with the stunning look""}"" data-sheets-userformat=""{""2"":8893,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""10"":0,""12"":0,""16"":10}"">Classic abstract canvas painting to redefine your Home with the stunning look</span></p>",1.0000,1,"Taxable Goods","Catalog, Search",,,,,,,,,/i/m/img_1157_birds_2_abstract_1_1.jpg,"Bird Painting , Colorful Abstract Art, Colorful Abstract Art, 100% Hand Painted Original Paintings that does not fade away and brings Life to the empty boring walls.  ",/i/m/img_1157_birds_2_abstract_1_1.jpg,"Bird Painting , Colorful Abstract Art, Colorful Abstract Art, 100% Hand Painted Original Paintings that does not fade away and brings Life to the empty boring walls.  ",/i/m/img_1157_birds_2_abstract_1_1.jpg,"Bird Painting , Colorful Abstract Art, Colorful Abstract Art, 100% Hand Painted Original Paintings that does not fade away and brings Life to the empty boring walls.  ",/i/m/img_1157_birds_2_abstract_1_1.jpg,,"7/24/18, 1:02 PM","11/6/21, 10:31 PM",,,"Product Info Column",,,,No,,,,,,,"Use config",India,"room=""Bed Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""7500"",jd_trends_artist=""1"",prirority=""1""",1.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/i/m/img_1157_birds_2_abstract_1_1.jpg,"Bird Painting , Colorful Abstract Art, Colorful Abstract Art, 100% Hand Painted Original Paintings that does not fade away and brings Life to the empty boring walls.  ",,,,,,,,,,,
"Two Fold",en,admin,simple,,,,,,,,,,,,,,,,,,/i/m/img_1157_birds_2_abstract_1.jpg,,/i/m/img_1157_birds_2_abstract_1.jpg,,/i/m/img_1157_birds_2_abstract_1.jpg,,/i/m/img_1157_birds_2_abstract_1.jpg,,,,,,,,,,,,,,,,,,,"tier_price_config_for_store=""Use only tier price for store view""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Two Fold",ae,admin,simple,,,,,,,,,,,,,,,,,,/i/m/img_1157_birds_2_abstract_1.jpg,,/i/m/img_1157_birds_2_abstract_1.jpg,,/i/m/img_1157_birds_2_abstract_1.jpg,,/i/m/img_1157_birds_2_abstract_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Two Fold",gb,admin,simple,,,,,,,,,,,,,,,,,,/i/m/img_1157_birds_2_abstract_1.jpg,,/i/m/img_1157_birds_2_abstract_1.jpg,,/i/m/img_1157_birds_2_abstract_1.jpg,,/i/m/img_1157_birds_2_abstract_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Life in Light",,admin,simple,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Abstract Paintings/Trendy Abstract Paintings,Default Category/Paintings/Medium,Default Category,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",base,,,"<p>contemporary painting</p>",1.0000,1,"Taxable Goods","Catalog, Search",,,,,,,,,/i/m/img_1128_general_abstract_1_1.jpg,"abstract art,100% Original, Hand Painted Abstract Art paintings for your Living room or bed room wall",/i/m/img_1128_general_abstract_1_1.jpg,"abstract art,100% Original, Hand Painted Abstract Art paintings for your Living room or bed room wall",/i/m/img_1128_general_abstract_1_1.jpg,"abstract art,100% Original, Hand Painted Abstract Art paintings for your Living room or bed room wall",/i/m/img_1128_general_abstract_1_1.jpg,,"7/24/18, 1:13 PM","11/6/21, 10:31 PM",,,"Product Info Column",,,,No,,,,,,,"Use config",India,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Use only tier price for store view"",artist_price=""7600"",jd_trends_artist=""1"",prirority=""2""",1.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/i/m/img_1128_general_abstract_1_1.jpg,"abstract art,100% Original, Hand Painted Abstract Art paintings for your Living room or bed room wall",,,,,,,,,,,
"Life in Light",en,admin,simple,,,,,,,,,,,,,,,,,,/i/m/img_1128_general_abstract_1.jpg,,/i/m/img_1128_general_abstract_1.jpg,,/i/m/img_1128_general_abstract_1.jpg,,/i/m/img_1128_general_abstract_1.jpg,,,,,,,,,,,,,,,,,,,"tier_price_config_for_store=""Merge tier price and tier price for store view""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Life in Light",ae,admin,simple,,,,,,,,,,,,,,,,,,/i/m/img_1128_general_abstract_1.jpg,,/i/m/img_1128_general_abstract_1.jpg,,/i/m/img_1128_general_abstract_1.jpg,,/i/m/img_1128_general_abstract_1.jpg,,,,,,,,,,,,,,,,,,,"tier_price_config_for_store=""Merge tier price and tier price for store view""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Life in Light",gb,admin,simple,,,,,,,,,,,,,,,,,,/i/m/img_1128_general_abstract_1.jpg,,/i/m/img_1128_general_abstract_1.jpg,,/i/m/img_1128_general_abstract_1.jpg,,/i/m/img_1128_general_abstract_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
