category,question,answer,keywords,source_sheet,priority
Models,Which premium Nexa models are available at Odyssey Motors?,Odyssey Motors offers premium Nexa models including Invicto XL6 Grand Vitara Fronx Baleno and Jimny. Variant availability can differ by location and stock.,nexa premium invicto xl6 grand vitara fronz baleno jimny availability,Models_Master,high
Invicto,What are key features of Maruti Suzuki Invicto at Odyssey Motors?,Invicto is a flagship Nexa MPV focused on premium design hybrid automatic performance luxury seating connected infotainment and advanced safety features. Exact variant-wise features should be confirmed at booking.,invicto features hybrid automatic premium safety infotainment,Models_Master,high
Pricing,What is the ex-showroom price of Invicto?,Please refer to the Models_Master sheet row for Invicto variant-wise ex_showroom_price_inr. If blank our sales team will provide the latest ex-showroom price quote.,invicto ex showroom price pricing,Models_Master,high
Pricing,What is the approx on-road price at Sambalpur for Grand Vitara?,Approx on-road price varies by variant registration insurance and accessories. Check Models_Master for base price and confirm final on-road quote with Sambalpur showroom.,grand vitara on road sambalpur pricing insurance,Models_Master,medium
Variants,Do you have CNG variants in stock?,Yes selected CNG variants are available for models like WagonR Dzire Ertiga Baleno Fronx and Grand Vitara based on allocation. Check Location_Availability for live stock and wait time.,cng variants stock wagonr dzire ertiga baleno fronz grand vitara,Location_Availability,high
Stock,Is Brezza ZXi available in Angul right now?,Please check Location_Availability for Angul model Brezza variant ZXi. The sheet includes stock units availability status and estimated wait weeks.,brezza zxi angul availability wait time stock,Location_Availability,high
Delivery,What is expected waiting time for Invicto booking?,Waiting time depends on variant and location. Check Location_Availability for estimated_wait_weeks and confirm final ETA at booking.,invicto wait time delivery eta location,Location_Availability,high
Test Drive,Can I book a test drive for Invicto?,Yes if test-drive unit is available. See Test_Drive sheet for location-wise availability slots and booking contact number.,test drive invicto booking slots,Test_Drive,high
Test Drive,What are test drive timings in Sambalpur?,Test drive slots are listed in Test_Drive sheet by model and location. Sambalpur timings can be shared from current slot window in that sheet.,test drive sambalpur timings slots,Test_Drive,medium
Offers,Are there any exchange bonuses or festive offers?,Yes Odyssey runs exchange bonuses loyalty benefits and campaign offers. Refer to Special_Offers sheet for model applicability dates and eligibility terms.,exchange bonus festive offers loyalty benefits,Special_Offers,high
Offers,Is there any corporate discount on Dzire or Ertiga?,Corporate programs may apply to selected variants and periods. Check Special_Offers sheet rows for corporate eligibility and validity dates.,corporate discount dzire ertiga offer validity,Special_Offers,medium
Launch,Is any new model launch expected soon?,Upcoming launches can be tracked in Models_Master via new_model_launch_date and status columns. Rows marked Upcoming indicate expected launches.,new model launch upcoming date,Models_Master,medium
Models,What is the difference between Grand Vitara and eVITARA?,Grand Vitara is an ICE and Hybrid SUV lineup with petrol strong hybrid and CNG options while eVITARA is a dedicated EV SUV lineup. Both are different models and feature sets and variant availability may vary by location.,grand vitara vs evitara difference ev ice hybrid cng suv,Models_Master,high
