question,answer,category,keywords,source_url
"How can I start admission at Gurunanak Public School?","You can begin by opening the Admission section on the school website and reviewing the Admission Process page. For the latest class-wise availability and required steps, contact the school office from the Contact Us page.","Admissions","admission process, school admission, apply, enrollment, gurunanak public school","https://gurunanakpublicschool.org.in/admission/2015-05-07-18-06-07"
"Where can I find the admission process details?","Admission process details are published on the official website under Admission > Admission Process. This page is the primary source for procedure updates.","Admissions","admission procedure, steps, school process, apply online","https://gurunanakpublicschool.org.in/admission/2015-05-07-18-06-07"
"Is there a withdrawal policy page?","Yes. The website has a dedicated Admission > Withdrawal page. Please refer to that page and then contact the school office for case-specific guidance.","Admissions","withdrawal, transfer, leaving certificate, admission withdrawal","https://gurunanakpublicschool.org.in/admission/2015-05-07-18-06-45"
"How do I contact Gurunanak Public School?","Use the Contact Us page on the official website to reach the school office for admissions, fee, certificates, and other queries.","Contact","contact us, phone, email, school office, support","https://gurunanakpublicschool.org.in/contact"
"Where can I pay school fees online?","The website provides an ONLINE FEE PAYMENT menu link. Use that official payment link for fee transactions.","Fees & Payments","online fee payment, school fees, pay fees, easebuzz","https://gurunanakpublicschool.org.in/"
"Does the school provide transfer certificate support?","Yes. There is a dedicated TC page on the school website. Parents can use that section and contact the office for request processing.","Certificates","tc, transfer certificate, school leaving certificate, certificate request","https://gurunanakpublicschool.org.in/tc"
"Where can I find mandatory disclosure information?","Mandatory disclosure/public information is available under the Mandatory Info section on the website, including official disclosure documents.","Compliance","mandatory info, mandatory public disclosure, saras, school compliance","https://gurunanakpublicschool.org.in/mandatory-info"
"Where can I see school infrastructure details?","Infrastructure information is organized under the Infra menu, including Computer Lab, Physics Lab, Chemistry Lab, Biology Lab, Library, Sports, and NCC.","Infrastructure","infra, facilities, labs, library, sports, ncc","https://gurunanakpublicschool.org.in/homepage"
"Does the school have science and computer labs?","Yes. The website lists Computer Lab, Physics Lab, Chemistry Lab, and Biology Lab under the Infra section.","Infrastructure","computer lab, physics lab, chemistry lab, biology lab, facilities","https://gurunanakpublicschool.org.in/homepage"
"Is there a library and sports facility?","Yes. Library and Sports are listed in the Infra section of the school website.","Infrastructure","library, sports, school facilities, campus","https://gurunanakpublicschool.org.in/homepage"
"Is NCC available in the school activities?","NCC is listed as part of the Infra menu on the school website. Contact the school for class eligibility and participation details.","Student Activities","ncc, co curricular, discipline, activities","https://gurunanakpublicschool.org.in/homepage"
"Where can I check academic and other events?","You can explore Events on the website under Academic Activities and Others.","Events","events, academic activities, school programs, student events","https://gurunanakpublicschool.org.in/homepage"
"Where can I view school photos and highlights?","The Gallery section on the official website contains school photos and visual highlights.","Campus Life","gallery, school photos, campus highlights, activities","https://gurunanakpublicschool.org.in/gallery"
"Where can I read about the school objectives and profile?","Use About School pages such as Objective and About GNPS to understand the school profile, mission, and background.","About School","objective, about gnps, school profile, mission","https://gurunanakpublicschool.org.in/homepage"
"Is there a message from the principal?","Yes. The website includes a dedicated About School > From the Desk of Principal page.","About School","principal message, from the desk of principal, leadership","https://gurunanakpublicschool.org.in/about-school/from-the-desk-of-principal"
"Can I view teaching staff information online?","Yes. Teaching staff information is available in About School > Teaching Staff.","Academics","teaching staff, faculty, teachers, staff details","https://gurunanakpublicschool.org.in/about-school/teaching-staff"
"How do I find the school location details?","Location is provided in the About School menu. You can also use Contact Us for updated directions and office assistance.","Contact","school location, address, directions, campus location","https://gurunanakpublicschool.org.in/homepage"
"Are admissions currently open?","The website navigation includes an Admissions Open link. For current seat status and classes, confirm with the school office.","Admissions","admissions open, new admissions, school seats","https://gurunanakpublicschool.org.in/"
"Where can I download school-related documents?","The website has a DOWNLOAD section in the main navigation for available files and resources.","Downloads","download, forms, documents, school files","https://gurunanakpublicschool.org.in/homepage"
"What is the best way to get latest policy updates?","For latest updates on admission, fees, TC, and mandatory disclosures, rely on the corresponding official website sections and verify with the school office when needed.","General","latest updates, school policy, official information, help desk","https://gurunanakpublicschool.org.in/"
