sku,categories,short_description,description,price,special_price,is_in_stock,additional_attributes,created_at,updated_at
Flower Painting - Morning Glory,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Style/Realistic,Default Category/Paintings,Default Category/Paintings/Landscape Paintings/Flower Paintings,Default Category/Paintings/Landscape Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Bed Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Paintings/Still Life Paintings",<p>Decorate your space with Flower Painting that looks amazing on walls. </p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""Yes"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""10000"",jd_trends_artist=""1"",prirority=""1""","7/24/18, 2:31 AM","5/30/24, 8:32 PM"
Force,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings/Modern Art, Contemporary Art,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Paintings/Style/Contemporary",<p>abstract canvas painting</p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""12000"",jd_trends_artist=""1"",prirority=""1""","7/24/18, 3:42 AM","3/8/24, 9:29 AM"
Two Fold,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Animals, Birds Paintings,Default Category/Paintings/Style/Abstract,Default Category,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Animals, Birds Paintings/Birds Paintings,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas","<p><span data-sheets-value=""{""1"":2,""2"":""Classic abstract canvas painting  to redefine your Home with the stunning look""}"" data-sheets-userformat=""{""2"":8893,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""10"":0,""12"":0,""16"":10}"">Classic abstract canvas painting to redefine your Home with the stunning look</span></p>",,,,1,"room=""Bed Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Merge tier price and tier price for store view"",artist_price=""7500"",jd_trends_artist=""1"",prirority=""1""","7/24/18, 1:02 PM","11/6/21, 10:31 PM"
Life in Light,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Style/Abstract,Default Category/Paintings/Abstract Paintings/Trendy Abstract Paintings,Default Category/Paintings/Medium,Default Category,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>contemporary painting</p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Use only tier price for store view"",artist_price=""7600"",jd_trends_artist=""1"",prirority=""2""","7/24/18, 1:13 PM","11/6/21, 10:31 PM"
contemporary Nature painting,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Landscape Paintings,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings/Modern Art, Contemporary Art,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Paintings/Landscape Paintings/Nature Painting, Scenery Painting",<p>This painting for living room will generate positive atmosphere and give the space a striking visual element.</p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Use only tier price for store view"",artist_price=""12500"",jd_trends_artist=""1"",prirority=""1""","7/24/18, 1:13 PM","3/11/24, 1:23 PM"
Soothing Groove,"Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Landscape Paintings,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Landscape Paintings/Nature Painting, Scenery Painting,Default Category/Paintings/Medium,Default Category/Paintings/Style/Decorative ,Default Category,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>This painting for living room will generate positive atmosphere and give the space a striking visual element.</p>,,,,1,"room=""Study Room"",medium=""Acrylic"",most_purchased=""Yes"",tier_price_config_for_store=""Use only tier price for store view"",artist_price=""10000"",jd_trends_artist=""1"",prirority=""1""","7/24/18, 1:14 PM","11/6/21, 10:31 PM"
A fiery Horse,"Default Category/Paintings,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Abstract Paintings,Default Category/Paintings/Animals, Birds Paintings,Default Category/Paintings/Style/Minimalistic,Default Category/Paintings/Abstract Paintings/Modern Art, Contemporary Art,Default Category/Paintings/Animals, Birds Paintings/Running Horse Paintings,Default Category/Paintings/Animals, Birds Paintings/Animals Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Room by View,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas","<p>horse painting , running horse painting , white horse painting ,Enhance the beauty of Your Walls through large  canvas Painting</p>",,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""Yes"",tier_price_config_for_store=""Use only tier price for store view"",artist_price=""12500"",jd_trends_artist=""1"",prirority=""1""","7/24/18, 1:17 PM","5/13/25, 5:45 PM"
Rhymic bird,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Landscape Paintings/Flower Paintings,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Landscape Paintings,Default Category/Show by Room,Default Category/Show by Room/Bed Room,Default Category/Room by View/Bed Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>Decorative  Painting</p>,,,,1,"medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Use only tier price for store view"",artist_price=""8600"",jd_trends_artist=""1"",prirority=""3""","7/24/18, 1:17 PM","11/6/21, 10:31 PM"
Beautiful Bird Painting,"Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Animals, Birds Paintings,Default Category/Paintings/Animals, Birds Paintings/Birds Paintings,Default Category,Default Category/Paintings,Default Category/Paintings/Style,Default Category/Paintings/Medium,Default Category/Paintings/Style/Abstract,Default Category/Show by Room,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas,Default Category/Show by Room/Bed Room,Default Category/Room by View/Bed Room View",<p>This painting for living room will generate positive atmosphere and give the space a striking visual element.</p>,,,,1,"room=""Living Room"",medium=""Acrylic"",most_purchased=""Yes"",tier_price_config_for_store=""Use only tier price for store view"",artist_price=""13600"",jd_trends_artist=""1"",prirority=""1""","7/24/18, 1:18 PM","11/6/21, 10:31 PM"
Copy Cat,"Default Category/Paintings/Style,Default Category/Paintings/Medium/Acrylic,Default Category/Paintings/Animals, Birds Paintings,Default Category/Paintings/Style/Realistic,Default Category/Paintings/Animals, Birds Paintings/Animals Paintings,Default Category/Paintings/Animals, Birds Paintings/Dog, Cat Paintings,Default Category,Default Category/Paintings,Default Category/Paintings/Medium,Default Category/Show by Room,Default Category/Show by Room/Living Room,Default Category/Room by View/Living Room View,Default Category/Room by View,Default Category/Paintings/Surface,Default Category/Paintings/Surface/Canvas",<p>animal painting - paintings of cats and kittens - Professional Portrait Painting for Cat .</p>,,,,1,"room=""Bed Room"",medium=""Acrylic"",most_purchased=""No"",tier_price_config_for_store=""Use only tier price for store view"",artist_price=""6500"",jd_trends_artist=""1"",prirority=""1""","7/24/18, 1:19 PM","11/6/21, 10:31 PM"
