question,answer,category
"What car models do you have available?","We have a wide selection of new and certified pre-owned vehicles including sedans, SUVs, trucks, and luxury cars from top brands like Toyota, Honda, Ford, BMW, and Mercedes-Benz.","inventory"
"Do you offer financing options?","Yes! We offer competitive financing options with rates as low as 2.9% APR for qualified buyers. We work with multiple lenders to get you the best deal.","financing"
"Can I trade in my current vehicle?","Absolutely! We accept trade-ins and will provide you with a competitive market value assessment. Our trade-in process is quick and hassle-free.","trade-in"
"Do you have certified pre-owned vehicles?","Yes, we have an extensive selection of certified pre-owned vehicles that come with extended warranties and have passed rigorous multi-point inspections.","pre-owned"
"What is your warranty coverage?","New vehicles come with full manufacturer warranty. Certified pre-owned vehicles include extended powertrain warranty up to 100,000 miles.","warranty"
"Do you offer maintenance services?","Yes, our service department offers complete maintenance and repair services with certified technicians and genuine parts.","service"
"Can I schedule a test drive?","Of course! You can schedule a test drive online or call us. We encourage test drives to help you find the perfect vehicle.","test-drive"
"What are your current promotions?","We have seasonal promotions including cash back offers, low APR financing, and lease specials. Check our website or visit our showroom for current deals.","promotions"
"Do you deliver vehicles?","Yes, we offer home delivery service within 50 miles for your convenience. Contact us to arrange vehicle delivery.","delivery"
"What documents do I need to purchase a car?","You'll need a valid driver's license, proof of insurance, proof of income, and down payment. We'll help guide you through the entire process.","documentation"
