make,brand_channel,model,variant,fuel_type,transmission,body_type,seating,new_model_launch_date,ex_showroom_price_inr,approx_on_road_price_inr,design,comfort,performance,safety,status,source_url
Maruti Suzuki,Arena,Alto K10,STD,Petrol,Manual,Hatchback,5,,,,Compact urban styling,Basic AC and front power windows,Light city drivability,Dual airbags and ABS EBD,Active,https://www.marutisuzuki.com
Maruti Suzuki,Arena,Alto K10,LXi,Petrol,Manual,Hatchback,5,,,,Body colored accents,Front power windows and AC,Refined 1.0L response,Dual airbags and reverse parking sensors,Active,https://www.marutisuzuki.com
Maruti Suzuki,Arena,Alto K10,VXi,Petrol,Manual,Hatchback,5,,,,Premium grille elements,Infotainment and steering controls,Agile low speed pickup,Dual airbags ABS EBD and ESP,Active,https://www.marutisuzuki.com
Maruti Suzuki,Arena,Alto K10,LXi CNG,CNG,Manual,Hatchback,5,,,,Functional dual fuel styling,Factory CNG with cabin comfort,Efficient mileage oriented tune,Standard safety package,Active,https://www.marutisuzuki.com
Maruti Suzuki,Arena,S-Presso,STD,Petrol,Manual,Hatchback,5,,,,SUV inspired upright look,High seating position and AC,City friendly torque band,ABS EBD and airbags,Active,https://www.marutisuzuki.com
Maruti Suzuki,Arena,S-Presso,VXi,Petrol,Manual,Hatchback,5,,,,Bold front fascia,Touch infotainment and power windows,Responsive urban performance,ESP hill hold and airbags,Active,https://www.marutisuzuki.com
Maruti Suzuki,Arena,S-Presso,VXi CNG,CNG,Manual,Hatchback,5,,,,Rugged compact profile,Dual fuel practicality,Low running cost tune,ABS EBD airbags and sensors,Active,https://www.marutisuzuki.com
Maruti Suzuki,Arena,Celerio,LXi,Petrol,Manual,Hatchback,5,,,,Rounded modern design,Spacious cabin and AC,Efficient engine calibration,Dual airbags ABS EBD,Active,https://www.marutisuzuki.com
Maruti Suzuki,Arena,Celerio,VXi,Petrol,Manual,Hatchback,5,,,,Contemporary grille and lamps,Infotainment with smartphone support,Smooth city and highway balance,Standard Maruti safety kit,Active,https://www.marutisuzuki.com
Maruti Suzuki,Arena,Celerio,ZXi,Petrol,Manual,Hatchback,5,,,,Alloy wheel styling cues,Enhanced interior finish,Improved drivability and NVH,Dual airbags ABS EBD and ESP,Active,https://www.marutisuzuki.com
Maruti Suzuki,Arena,Celerio,VXi CNG,CNG,Manual,Hatchback,5,,,,Practical compact stance,Factory fitted CNG and AC,Reliable economy focused tune,Dual airbags and ABS EBD,Active,https://www.marutisuzuki.com
Maruti Suzuki,Arena,WagonR,LXi 1.0,Petrol,Manual,Hatchback,5,,,,Tall boy silhouette,Spacious headroom and easy ingress,Urban efficiency and ease,ABS EBD airbags and sensors,Active,https://www.marutisuzuki.com
Maruti Suzuki,Arena,WagonR,VXi 1.0,Petrol,Manual,Hatchback,5,,,,Updated front and side graphics,Infotainment and steering controls,Smooth low end performance,Dual airbags ABS EBD and ESP,Active,https://www.marutisuzuki.com
Maruti Suzuki,Arena,WagonR,ZXi 1.2,Petrol,Manual,Hatchback,5,,,,Premium hatchback styling,Rear seat comfort and features,Stronger 1.2L performance,Dual airbags ABS EBD and hill hold,Active,https://www.marutisuzuki.com
Maruti Suzuki,Arena,WagonR,VXi CNG,CNG,Manual,Hatchback,5,,,,Clean fuel badging and trim,Factory CNG and practical storage,Economy first performance setup,ABS EBD and airbags,Active,https://www.marutisuzuki.com
Maruti Suzuki,Arena,Swift,LXi,Petrol,Manual,Hatchback,5,,,,Sporty hatchback proportions,Driver focused cockpit,Quick acceleration in class,Dual airbags ABS EBD and ESP,Active,https://www.marutisuzuki.com
