external_key,name,description,content,category,location,sales_phone,service_phone,insurance_phone,customer_care_phone,used_car_phone,address,map_url,keywords,follow_up,supplementary_info,source_url,last_verified_at
odyssey_angul_contacts,Odyssey Motors Angul Contact Details,Contact details for Odyssey Motors Angul branch.,"Location: Angul. Sales: 9437499660. Service: 9439817308. Insurance: 9437003053. Customer Care: 9437050354. Used Car: 9437831123. Address: Near CPP, Kulad, Angul 759145. Google Map: https://www.google.co.in/maps/place/Odyssey+Motors,+Angul/@20.844538,85.180123,17z/data=!3m1!4b1!4m2!3m1!1s0x3a18b07c0823e29f:0x5a3dee980ef3e697?hl=en.",contact,Angul,9437499660,9439817308,9437003053,9437050354,9437831123,"Near CPP, Kulad, Angul 759145","https://www.google.co.in/maps/place/Odyssey+Motors,+Angul/@20.844538,85.180123,17z/data=!3m1!4b1!4m2!3m1!1s0x3a18b07c0823e29f:0x5a3dee980ef3e697?hl=en","odyssey motors,angul,contact,sales,service,insurance,customer care,address,map,phone","Do you also want sales, insurance, used car, customer care numbers, and map link for Angul?","Used car contact for Angul: 9437831123. Map link: https://www.google.co.in/maps/place/Odyssey+Motors,+Angul/@20.844538,85.180123,17z/data=!3m1!4b1!4m2!3m1!1s0x3a18b07c0823e29f:0x5a3dee980ef3e697?hl=en.",https://odysseymotors.com/,2026-02-19T17:07:34Z
odyssey_bamra_contacts,Odyssey Motors Bamra Contact Details,Contact details for Odyssey Motors Bamra branch.,"Location: Bamra. Sales: 7381012559. Service: 9692983795. Insurance: 7873007524. Customer Care: Not listed. Used Car: 7873006037. Address: M/s Odyssey Motors,Near Satsang Kendra Dumermunda College Road, Bamra, Govindpur, Odisha 768221, India. Google Map: https://www.google.com/maps/place/Maruti+Suzuki+Service+(Odyssey+Motors)/@22.0525565,83.1678385,9z/data=!4m6!3m5!1s0x3a205f97d56969d3:0x6a486d2399e00ab7!8m2!3d22.0525565!4d84.288444!16s%2Fg%2F11pdy7ztxm?coh=164777&entry=tt.",contact,Bamra,7381012559,9692983795,7873007524,,7873006037,"M/s Odyssey Motors,Near Satsang Kendra Dumermunda College Road, Bamra, Govindpur, Odisha 768221, India","https://www.google.com/maps/place/Maruti+Suzuki+Service+(Odyssey+Motors)/@22.0525565,83.1678385,9z/data=!4m6!3m5!1s0x3a205f97d56969d3:0x6a486d2399e00ab7!8m2!3d22.0525565!4d84.288444!16s%2Fg%2F11pdy7ztxm?coh=164777&entry=tt","odyssey motors,bamra,contact,sales,service,insurance,customer care,address,map,phone","Do you also want sales, insurance, used car, customer care numbers, and map link for Bamra?","Used car contact for Bamra: 7873006037. Map link: https://www.google.com/maps/place/Maruti+Suzuki+Service+(Odyssey+Motors)/@22.0525565,83.1678385,9z/data=!4m6!3m5!1s0x3a205f97d56969d3:0x6a486d2399e00ab7!8m2!3d22.0525565!4d84.288444!16s%2Fg%2F11pdy7ztxm?coh=164777&entry=tt.",https://odysseymotors.com/,2026-02-19T17:07:34Z
odyssey_bargarh_contacts,Odyssey Motors Bargarh Contact Details,Contact details for Odyssey Motors Bargarh branch.,"Location: Bargarh. Sales: 9556352943. Service: 8908944206. Insurance: 9692383641. Customer Care: 6370700845. Used Car: 7873027996. Address: Near Zeera Bridge, Bargarh, 768028. Google Map: https://www.google.co.in/maps/search/Odyssey+Motors,+Bargarh/@21.4163765,83.798248,11z/data=!3m1!4b1?hl=en.",contact,Bargarh,9556352943,8908944206,9692383641,6370700845,7873027996,"Near Zeera Bridge, Bargarh, 768028","https://www.google.co.in/maps/search/Odyssey+Motors,+Bargarh/@21.4163765,83.798248,11z/data=!3m1!4b1?hl=en","odyssey motors,bargarh,contact,sales,service,insurance,customer care,address,map,phone","Do you also want sales, insurance, used car, customer care numbers, and map link for Bargarh?","Used car contact for Bargarh: 7873027996. Map link: https://www.google.co.in/maps/search/Odyssey+Motors,+Bargarh/@21.4163765,83.798248,11z/data=!3m1!4b1?hl=en.",https://odysseymotors.com/,2026-02-19T17:07:34Z
odyssey_bolangir_contacts,Odyssey Motors Bolangir Contact Details,Contact details for Odyssey Motors Bolangir branch.,"Location: Bolangir. Sales: 9438068327. Service: 8895418122. Insurance: 8144918069. Customer Care: 7381191717. Used Car: 7873440763. Address: Madhiapali, Bolangir, 767002. Google Map: https://www.google.co.in/maps/place/Odyssey+Motors,+Bolangir/@20.734622,83.495032,17z/data=!3m1!4b1!4m2!3m1!1s0x3a240f27c7eb545d:0x37d3ba0321b32f8d?hl=en.",contact,Bolangir,9438068327,8895418122,8144918069,7381191717,7873440763,"Madhiapali, Bolangir, 767002","https://www.google.co.in/maps/place/Odyssey+Motors,+Bolangir/@20.734622,83.495032,17z/data=!3m1!4b1!4m2!3m1!1s0x3a240f27c7eb545d:0x37d3ba0321b32f8d?hl=en","odyssey motors,bolangir,contact,sales,service,insurance,customer care,address,map,phone","Do you also want sales, insurance, used car, customer care numbers, and map link for Bolangir?","Used car contact for Bolangir: 7873440763. Map link: https://www.google.co.in/maps/place/Odyssey+Motors,+Bolangir/@20.734622,83.495032,17z/data=!3m1!4b1!4m2!3m1!1s0x3a240f27c7eb545d:0x37d3ba0321b32f8d?hl=en.",https://odysseymotors.com/,2026-02-19T17:07:34Z
odyssey_boudh_contacts,Odyssey Motors Boudh Contact Details,Contact details for Odyssey Motors Boudh branch.,"Location: Boudh. Sales: 8594908009. Service: 7064435103. Insurance: 7873007524. Customer Care: 7064435103. Used Car: 9437050062. Address: At/PO, near Women's College, Baudhgarh, Odisha 762014, India. Google Map: https://goo.gl/maps/YuaJw3NMaG7UWcwW9.",contact,Boudh,8594908009,7064435103,7873007524,7064435103,9437050062,"At/PO, near Women's College, Baudhgarh, Odisha 762014, India",https://goo.gl/maps/YuaJw3NMaG7UWcwW9,"odyssey motors,boudh,contact,sales,service,insurance,customer care,address,map,phone","Do you also want sales, insurance, used car, customer care numbers, and map link for Boudh?",Used car contact for Boudh: 9437050062. Map link: https://goo.gl/maps/YuaJw3NMaG7UWcwW9.,https://odysseymotors.com/,2026-02-19T17:07:34Z
odyssey_jharsuguda_contacts,Odyssey Motors Jharsuguda Contact Details,Contact details for Odyssey Motors Jharsuguda branch.,"Location: Jharsuguda. Sales: 9439892153. Service: 9439548823. Insurance: 7873018838. Customer Care: 9439495973. Used Car: 9437050062. Address: Power House Chowk, Jhrasuguda 768201. Google Map: https://www.google.co.in/maps/place/Odyssey+Motors,+Jharsuguda/@21.842301,84.003852,17z/data=!3m1!4b1!4m2!3m1!1s0x3a20e14d21589e13:0xbfd5fbda9f926350?hl=en.",contact,Jharsuguda,9439892153,9439548823,7873018838,9439495973,9437050062,"Power House Chowk, Jhrasuguda 768201","https://www.google.co.in/maps/place/Odyssey+Motors,+Jharsuguda/@21.842301,84.003852,17z/data=!3m1!4b1!4m2!3m1!1s0x3a20e14d21589e13:0xbfd5fbda9f926350?hl=en","odyssey motors,jharsuguda,contact,sales,service,insurance,customer care,address,map,phone","Do you also want sales, insurance, used car, customer care numbers, and map link for Jharsuguda?","Used car contact for Jharsuguda: 9437050062. Map link: https://www.google.co.in/maps/place/Odyssey+Motors,+Jharsuguda/@21.842301,84.003852,17z/data=!3m1!4b1!4m2!3m1!1s0x3a20e14d21589e13:0xbfd5fbda9f926350?hl=en.",https://odysseymotors.com/,2026-02-19T17:07:34Z
odyssey_kuchinda_contacts,Odyssey Motors Kuchinda Contact Details,Contact details for Odyssey Motors Kuchinda branch.,"Location: Kuchinda. Sales: 7381012559. Service: 9692983833. Insurance: 7873007524. Customer Care: Not listed. Used Car: 7873006037. Address: Mandir, Plot No 146,Khata No 76/9,Mouza-Kundaposhi, near Kundeshwar, Sambulpur, Kuchinda, Odisha 768222, India. Google Map: https://goo.gl/maps/Z8NtkipAUGyMt5ve8.",contact,Kuchinda,7381012559,9692983833,7873007524,,7873006037,"Mandir, Plot No 146,Khata No 76/9,Mouza-Kundaposhi, near Kundeshwar, Sambulpur, Kuchinda, Odisha 768222, India",https://goo.gl/maps/Z8NtkipAUGyMt5ve8,"odyssey motors,kuchinda,contact,sales,service,insurance,customer care,address,map,phone","Do you also want sales, insurance, used car, customer care numbers, and map link for Kuchinda?",Used car contact for Kuchinda: 7873006037. Map link: https://goo.gl/maps/Z8NtkipAUGyMt5ve8.,https://odysseymotors.com/,2026-02-19T17:07:34Z
odyssey_nuapada_contacts,Odyssey Motors Nuapada Contact Details,Contact details for Odyssey Motors Nuapada branch.,"Location: Nuapada. Sales: 9438068327. Service: 8895418122. Insurance: 8144918069. Customer Care: 7381191717. Used Car: 7873440763. Address: Near FCI, Khariar Road, Nuapada, 766104. Google Map: https://www.google.co.in/maps/place/Odyssey+Motors,+Nuapada/@20.888309,82.5078825,16z/data=!4m2!3m1!1s0x3a25e1a8ccb70b03:0x2bbfc6d678523ad7?hl=en.",contact,Nuapada,9438068327,8895418122,8144918069,7381191717,7873440763,"Near FCI, Khariar Road, Nuapada, 766104","https://www.google.co.in/maps/place/Odyssey+Motors,+Nuapada/@20.888309,82.5078825,16z/data=!4m2!3m1!1s0x3a25e1a8ccb70b03:0x2bbfc6d678523ad7?hl=en","odyssey motors,nuapada,contact,sales,service,insurance,customer care,address,map,phone","Do you also want sales, insurance, used car, customer care numbers, and map link for Nuapada?","Used car contact for Nuapada: 7873440763. Map link: https://www.google.co.in/maps/place/Odyssey+Motors,+Nuapada/@20.888309,82.5078825,16z/data=!4m2!3m1!1s0x3a25e1a8ccb70b03:0x2bbfc6d678523ad7?hl=en.",https://odysseymotors.com/,2026-02-19T17:07:34Z
odyssey_padampur_contacts,Odyssey Motors Padampur Contact Details,Contact details for Odyssey Motors Padampur branch.,"Location: Padampur. Sales: 9556352943. Service: 8908944206. Insurance: 9692383641. Customer Care: 6372803045. Used Car: 7873027996. Address: opposite Hotel Regency, Padmapur, Odisha 768038, India. Google Map: https://goo.gl/maps/iCFy4zZJf4Ktg2D79.",contact,Padampur,9556352943,8908944206,9692383641,6372803045,7873027996,"opposite Hotel Regency, Padmapur, Odisha 768038, India",https://goo.gl/maps/iCFy4zZJf4Ktg2D79,"odyssey motors,padampur,contact,sales,service,insurance,customer care,address,map,phone","Do you also want sales, insurance, used car, customer care numbers, and map link for Padampur?",Used car contact for Padampur: 7873027996. Map link: https://goo.gl/maps/iCFy4zZJf4Ktg2D79.,https://odysseymotors.com/,2026-02-19T17:07:34Z
odyssey_pallahara_contacts,Odyssey Motors Pallahara Contact Details,Contact details for Odyssey Motors Pallahara branch.,"Location: Pallahara. Sales: 7873565435. Service: 9692983805. Insurance: 9437003053. Customer Care: 9692983805. Used Car: 9437831123. Address: Khata No. 260, Plot No. 998/3720, Pallahara, Odisha 759119, India. Google Map: https://goo.gl/maps/HFRsn2sAZL5UADmj6.",contact,Pallahara,7873565435,9692983805,9437003053,9692983805,9437831123,"Khata No. 260, Plot No. 998/3720, Pallahara, Odisha 759119, India",https://goo.gl/maps/HFRsn2sAZL5UADmj6,"odyssey motors,pallahara,contact,sales,service,insurance,customer care,address,map,phone","Do you also want sales, insurance, used car, customer care numbers, and map link for Pallahara?",Used car contact for Pallahara: 9437831123. Map link: https://goo.gl/maps/HFRsn2sAZL5UADmj6.,https://odysseymotors.com/,2026-02-19T17:07:34Z
