category,question,answer,keywords,follow_up,supplementary_info,source_sheet,priority
Contact,What is the service contact number for Angul?,"Service contact for Angul: 9439817308. Full branch contacts — Sales: 9437499660, Insurance: 9437003053, Customer Care: 9437050354, Used Car: 9437831123. Address: Near CPP, Kulad, Angul 759145. Map: https://www.google.co.in/maps/place/Odyssey+Motors,+Angul/@20.844538,85.180123,17z/data=!3m1!4b1!4m2!3m1!1s0x3a18b07c0823e29f:0x5a3dee980ef3e697?hl=en.","service contact angul,odyssey motors angul,phone number,address,map",Do you want only service number or complete branch contact details for Angul?,"Google map for Angul: https://www.google.co.in/maps/place/Odyssey+Motors,+Angul/@20.844538,85.180123,17z/data=!3m1!4b1!4m2!3m1!1s0x3a18b07c0823e29f:0x5a3dee980ef3e697?hl=en",odysseymotors.com,high
Contact,What is the service contact number for Bamra?,"Service contact for Bamra: 9692983795. Full branch contacts — Sales: 7381012559, Insurance: 7873007524, Customer Care: Not listed, Used Car: 7873006037. Address: M/s Odyssey Motors,Near Satsang Kendra Dumermunda College Road, Bamra, Govindpur, Odisha 768221, India. Map: https://www.google.com/maps/place/Maruti+Suzuki+Service+(Odyssey+Motors)/@22.0525565,83.1678385,9z/data=!4m6!3m5!1s0x3a205f97d56969d3:0x6a486d2399e00ab7!8m2!3d22.0525565!4d84.288444!16s%2Fg%2F11pdy7ztxm?coh=164777&entry=tt.","service contact bamra,odyssey motors bamra,phone number,address,map",Do you want only service number or complete branch contact details for Bamra?,"Google map for Bamra: https://www.google.com/maps/place/Maruti+Suzuki+Service+(Odyssey+Motors)/@22.0525565,83.1678385,9z/data=!4m6!3m5!1s0x3a205f97d56969d3:0x6a486d2399e00ab7!8m2!3d22.0525565!4d84.288444!16s%2Fg%2F11pdy7ztxm?coh=164777&entry=tt",odysseymotors.com,high
Contact,What is the service contact number for Bargarh?,"Service contact for Bargarh: 8908944206. Full branch contacts — Sales: 9556352943, Insurance: 9692383641, Customer Care: 6370700845, Used Car: 7873027996. Address: Near Zeera Bridge, Bargarh, 768028. Map: https://www.google.co.in/maps/search/Odyssey+Motors,+Bargarh/@21.4163765,83.798248,11z/data=!3m1!4b1?hl=en.","service contact bargarh,odyssey motors bargarh,phone number,address,map",Do you want only service number or complete branch contact details for Bargarh?,"Google map for Bargarh: https://www.google.co.in/maps/search/Odyssey+Motors,+Bargarh/@21.4163765,83.798248,11z/data=!3m1!4b1?hl=en",odysseymotors.com,high
Contact,What is the service contact number for Bolangir?,"Service contact for Bolangir: 8895418122. Full branch contacts — Sales: 9438068327, Insurance: 8144918069, Customer Care: 7381191717, Used Car: 7873440763. Address: Madhiapali, Bolangir, 767002. Map: https://www.google.co.in/maps/place/Odyssey+Motors,+Bolangir/@20.734622,83.495032,17z/data=!3m1!4b1!4m2!3m1!1s0x3a240f27c7eb545d:0x37d3ba0321b32f8d?hl=en.","service contact bolangir,odyssey motors bolangir,phone number,address,map",Do you want only service number or complete branch contact details for Bolangir?,"Google map for Bolangir: https://www.google.co.in/maps/place/Odyssey+Motors,+Bolangir/@20.734622,83.495032,17z/data=!3m1!4b1!4m2!3m1!1s0x3a240f27c7eb545d:0x37d3ba0321b32f8d?hl=en",odysseymotors.com,high
Contact,What is the service contact number for Boudh?,"Service contact for Boudh: 7064435103. Full branch contacts — Sales: 8594908009, Insurance: 7873007524, Customer Care: 7064435103, Used Car: 9437050062. Address: At/PO, near Women's College, Baudhgarh, Odisha 762014, India. Map: https://goo.gl/maps/YuaJw3NMaG7UWcwW9.","service contact boudh,odyssey motors boudh,phone number,address,map",Do you want only service number or complete branch contact details for Boudh?,Google map for Boudh: https://goo.gl/maps/YuaJw3NMaG7UWcwW9,odysseymotors.com,high
Contact,What is the service contact number for Jharsuguda?,"Service contact for Jharsuguda: 9439548823. Full branch contacts — Sales: 9439892153, Insurance: 7873018838, Customer Care: 9439495973, Used Car: 9437050062. Address: Power House Chowk, Jhrasuguda 768201. Map: https://www.google.co.in/maps/place/Odyssey+Motors,+Jharsuguda/@21.842301,84.003852,17z/data=!3m1!4b1!4m2!3m1!1s0x3a20e14d21589e13:0xbfd5fbda9f926350?hl=en.","service contact jharsuguda,odyssey motors jharsuguda,phone number,address,map",Do you want only service number or complete branch contact details for Jharsuguda?,"Google map for Jharsuguda: https://www.google.co.in/maps/place/Odyssey+Motors,+Jharsuguda/@21.842301,84.003852,17z/data=!3m1!4b1!4m2!3m1!1s0x3a20e14d21589e13:0xbfd5fbda9f926350?hl=en",odysseymotors.com,high
Contact,What is the service contact number for Kuchinda?,"Service contact for Kuchinda: 9692983833. Full branch contacts — Sales: 7381012559, Insurance: 7873007524, Customer Care: Not listed, Used Car: 7873006037. Address: Mandir, Plot No 146,Khata No 76/9,Mouza-Kundaposhi, near Kundeshwar, Sambulpur, Kuchinda, Odisha 768222, India. Map: https://goo.gl/maps/Z8NtkipAUGyMt5ve8.","service contact kuchinda,odyssey motors kuchinda,phone number,address,map",Do you want only service number or complete branch contact details for Kuchinda?,Google map for Kuchinda: https://goo.gl/maps/Z8NtkipAUGyMt5ve8,odysseymotors.com,high
Contact,What is the service contact number for Nuapada?,"Service contact for Nuapada: 8895418122. Full branch contacts — Sales: 9438068327, Insurance: 8144918069, Customer Care: 7381191717, Used Car: 7873440763. Address: Near FCI, Khariar Road, Nuapada, 766104. Map: https://www.google.co.in/maps/place/Odyssey+Motors,+Nuapada/@20.888309,82.5078825,16z/data=!4m2!3m1!1s0x3a25e1a8ccb70b03:0x2bbfc6d678523ad7?hl=en.","service contact nuapada,odyssey motors nuapada,phone number,address,map",Do you want only service number or complete branch contact details for Nuapada?,"Google map for Nuapada: https://www.google.co.in/maps/place/Odyssey+Motors,+Nuapada/@20.888309,82.5078825,16z/data=!4m2!3m1!1s0x3a25e1a8ccb70b03:0x2bbfc6d678523ad7?hl=en",odysseymotors.com,high
Contact,What is the service contact number for Padampur?,"Service contact for Padampur: 8908944206. Full branch contacts — Sales: 9556352943, Insurance: 9692383641, Customer Care: 6372803045, Used Car: 7873027996. Address: opposite Hotel Regency, Padmapur, Odisha 768038, India. Map: https://goo.gl/maps/iCFy4zZJf4Ktg2D79.","service contact padampur,odyssey motors padampur,phone number,address,map",Do you want only service number or complete branch contact details for Padampur?,Google map for Padampur: https://goo.gl/maps/iCFy4zZJf4Ktg2D79,odysseymotors.com,high
Contact,What is the service contact number for Pallahara?,"Service contact for Pallahara: 9692983805. Full branch contacts — Sales: 7873565435, Insurance: 9437003053, Customer Care: 9692983805, Used Car: 9437831123. Address: Khata No. 260, Plot No. 998/3720, Pallahara, Odisha 759119, India. Map: https://goo.gl/maps/HFRsn2sAZL5UADmj6.","service contact pallahara,odyssey motors pallahara,phone number,address,map",Do you want only service number or complete branch contact details for Pallahara?,Google map for Pallahara: https://goo.gl/maps/HFRsn2sAZL5UADmj6,odysseymotors.com,high
