make,brand_channel,model,variant,fuel_type,transmission,body_type,seating,new_model_launch_date,ex_showroom_price_inr,approx_on_road_price_inr,design,comfort,performance,safety,status,source_url
Maruti Suzuki,Nexa,Baleno,Sigma,Petrol,Manual,Hatchback,5,,,,Premium hatchback exterior with LED signature,Spacious cabin with modern infotainment,Smooth and efficient city-highway drive,Dual airbags ABS EBD and ESP,Active,https://www.nexaexperience.com
Maruti Suzuki,Nexa,Baleno,Delta,Petrol,Manual,Hatchback,5,,,,Sharp lines with premium grille,Smartplay system and steering controls,Refined 1.2L drivability,Enhanced active safety package,Active,https://www.nexaexperience.com
Maruti Suzuki,Nexa,Baleno,Zeta,Petrol,Manual,Hatchback,5,,,,Upscale alloy and lighting details,Connected and premium interior finish,Improved NVH and response,Multi-airbag safety in higher variants,Active,https://www.nexaexperience.com
Maruti Suzuki,Nexa,Baleno,Delta CNG,CNG,Manual,Hatchback,5,,,,Dual-fuel premium hatch profile,Factory CNG with practical comfort,Economy-focused smooth output,ABS EBD airbags and ESP,Active,https://www.nexaexperience.com
Maruti Suzuki,Nexa,Fronx,Sigma,Petrol,Manual,SUV Coupe,5,,,,SUV coupe silhouette and bold front,Feature-rich cockpit and high seating,Strong city usability and highway confidence,ESP hill hold airbags and ABS,Active,https://www.nexaexperience.com
Maruti Suzuki,Nexa,Fronx,Delta,Petrol,Manual,SUV Coupe,5,,,,Distinctive DRL and coupe rear design,Connected infotainment and comfort touches,Balanced performance for mixed driving,Comprehensive active safety systems,Active,https://www.nexaexperience.com
Maruti Suzuki,Nexa,Fronx,Zeta,Petrol,Automatic,SUV Coupe,5,,,,Premium top-trim exterior package,Automatic transmission comfort + premium cabin,Stronger turbo-like top-end feel,Enhanced multi-airbag + ESP suite,Active,https://www.nexaexperience.com
Maruti Suzuki,Nexa,Fronx,Delta CNG,CNG,Manual,SUV Coupe,5,,,,CNG-specific identity badging,Dual-fuel practicality with comfort,Low running-cost performance tune,ABS EBD airbags and stability aids,Active,https://www.nexaexperience.com
Maruti Suzuki,Nexa,Ignis,Sigma,Petrol,Manual,Hatchback,5,,,,Urban SUV-inspired compact design,Practical cabin with modern layout,Agile city mobility,Airbags ABS EBD and rear sensors,Active,https://www.nexaexperience.com
Maruti Suzuki,Nexa,Ignis,Alpha,Petrol,Automatic,Hatchback,5,,,,Premium urban styling accents,Automatic convenience with premium trim,Easy stop-go drivability,Improved active safety package,Active,https://www.nexaexperience.com
Maruti Suzuki,Nexa,Grand Vitara,Sigma,Petrol,Manual,SUV,5,,,,Strong SUV stance and premium surface treatment,Spacious premium cabin and utility features,Confident long-distance drive performance,Multi-airbag architecture with ESP,Active,https://www.nexaexperience.com
Maruti Suzuki,Nexa,Grand Vitara,Delta,Petrol,Manual,SUV,5,,,,Refined SUV design details,Connected features and comfort seats,Balanced power and efficiency setup,Enhanced stability and braking safety,Active,https://www.nexaexperience.com
Maruti Suzuki,Nexa,Grand Vitara,Zeta Strong Hybrid,Hybrid,Automatic,SUV,5,,,,Hybrid-specific premium accents,Premium interior and tech features,Excellent fuel efficiency with hybrid assist,Advanced driver aids and safety tech,Active,https://www.nexaexperience.com
Maruti Suzuki,Nexa,Grand Vitara,Delta CNG,CNG,Manual,SUV,5,,,,Eco-focused SUV badging and styling,CNG utility with premium comfort,Economical SUV tuning,ABS EBD airbags and ESP,Active,https://www.nexaexperience.com
Maruti Suzuki,Nexa,XL6,Zeta,Petrol,Manual,MUV,6,,,,Cross-MPV premium exterior identity,Captain-seat style comfort layout,Smooth family-tour performance,Richer safety package with ESP,Active,https://www.nexaexperience.com
Maruti Suzuki,Nexa,XL6,Alpha Plus,Petrol,Automatic,MUV,6,,,,Top-tier styling and detailing,Automatic premium comfort and smart features,Refined cruising and drivability,Comprehensive multi-airbag safety,Active,https://www.nexaexperience.com
Maruti Suzuki,Nexa,Jimny,Zeta,Petrol,Manual,SUV,4,,,,Iconic rugged off-road design,Compact purposeful cabin,4x4 low-range performance focus,Hill descent ESP traction controls,Active,https://www.nexaexperience.com
Maruti Suzuki,Nexa,Jimny,Alpha,Petrol,Manual,SUV,4,,,,Premium off-road signature package,Upgraded infotainment and convenience,High off-road and trail capability,Ladder frame + robust safety setup,Active,https://www.nexaexperience.com
Maruti Suzuki,Nexa,Invicto,Zeta Plus,Hybrid,Automatic,MUV,7,,,,Flagship Nexa MPV styling theme,Luxury seating and premium infotainment,Strong-hybrid smooth power delivery,Advanced safety + ADAS in top variants,Active,https://www.nexaexperience.com
Maruti Suzuki,Nexa,Invicto,Alpha Plus,Hybrid,Automatic,MUV,7,,,,Top-end flagship premium design,Enhanced connected comfort and rear luxury,Excellent hybrid highway refinement,Comprehensive top-trim safety suite,Active,https://www.nexaexperience.com
Maruti Suzuki,Nexa,eVITARA,Base (Planned),EV,Automatic,SUV,5,TBD,,,,Modern EV-ready design language expected,Connected EV-centric comfort expected,Electric drivetrain performance expected,Safety package TBD,Upcoming,https://www.nexaexperience.com
